0	94574	33.577
1.03	92653.6667	503.52
2.03	94295	984.44
3.03	92439	563.75
4.01	92094.6667	833.26
5.01	91078	520.85
6.01	89438.6667	710.83
7.01	90852	518.8
8.01	89011	450.84
9.03	88906.3333	607.97
10.03	88771.6667	897.23
11.03	86958.6667	279.44
12.03	86012.6667	575.38
13.03	85452.3333	114.78
14.03	84225.6667	404.75
15.01	84655	814.36
16.03	83747.3333	484.58
17.03	83440	346.99
18.03	82758	559.33
19.03	81412.6667	267.66
20.03	82146.3333	1396.2
21.03	81292.3333	458.72
22.01	80346.6667	595.77
23.01	79681	550.24
24.03	79266.3333	381.11
25.03	77784	414.96
26.03	77304.6667	601.32
27.03	77308	522.22
28.03	76719.3333	809.53
29.03	76785.3333	502.45
30.01	76972	594.43
31.03	75759.6667	514.74
32.03	75399.6667	840.83
33.03	74694	554.14
34.03	73201.6667	128.17
35.03	72135.3333	675.09
36.03	73198	622.96
37.01	72187	293.67
38.03	71346	442.36
39.03	70786.3333	1261
40.03	71586.6667	175
41.03	70147.3333	623.13
42.03	71038.6667	531.12
43.03	68413.6667	393.7
44.01	68506.3333	615.92
45.03	68813	437.44
46.03	67679.3333	211.03
47.03	67174.3333	224.23
48.03	66987.3333	252.78
49.03	67880.3333	819.2
50.03	66119.6667	580.63
51.01	64439.6667	823.21
52.03	64638.6667	1062.5
53.03	64441.3333	473.57
54.03	63612.3333	147.25
55.03	63465.3333	1003.4
56.03	62894	577.12
57.03	62785.3333	567.28
58.01	61610.6667	1109.6
59.01	62293	287.6
60.03	62428	457.72
61.03	61278	245.71
62.03	61144.3333	153.86
63.03	61719.6667	377.85
64.03	59811	350.13
65.03	59374	633.58
66.01	59226.6667	487.79
67.03	58652.6667	271.31
68.03	57945.3333	609.41
69.03	57317.6667	842.92
70.03	57691.6667	150.23
71.03	57185	308.68
72.03	56826	118.22
73.01	55959.3333	615.83
74.03	54975	451.54
75.03	54427	330.43
76.03	54882	46.477
77.03	54479.6667	559.64
78.03	54250	962.04
79.03	53266.3333	346.63
80.01	54064.6667	430.05
81.03	54544.3333	207.38
82.03	53678.6667	303.23
83.03	53441	550.67
84.03	52987	375.41
85.03	52038.3333	225.13
86.03	51319.3333	554.41
87.01	51188	554.53
88.03	51081	785.6
89.03	50519.6667	188.82
90.03	50531.3333	535.51
91.03	50292.3333	317.95
92.03	49748.3333	520.52
93.03	49013.6667	608.34
94.01	49440	259.92
95.01	48158.6667	783.65
96.03	48491.3333	49.418
97.03	46852.3333	156.12
98.03	47092	581.41
99.03	46879.3333	222.83
100.03	46772	653.69
101.03	46693.6667	529.1
102.01	46599.6667	517.14
103.03	46145.6667	81.132
104.03	45639.3333	560.14
105.03	46172.6667	228.76
106.03	44840.6667	349.9
107.03	45919	279.48
108.03	44600.6667	60.011
109.01	44173	411.85
110.03	44546.6667	430.07
111.03	44068.3333	198.91
112.03	43078.3333	350.49
113.03	42680	207.85
114.03	42398.6667	480
115.03	43425.3333	436.25
116.01	42226.3333	257.85
117.03	42011.6667	277.08
118.03	41601	629.68
119.03	41187.3333	426.78
120.03	40534	140.92
121.03	40785.6667	208.8
122.03	39960.3333	359.45
123.01	40962.6667	333.71
124.03	40171	715.19
125.03	39453.6667	961.88
126.03	40307.6667	255.15
127.03	39186.6667	638.45
128.03	39188.3333	519.48
129.03	39186.6667	175.07
130.01	37905.6667	66.516
131.01	38598.6667	182.87
132.03	37907.6667	493.81
133.03	37320.6667	381.84
134.03	37039.3333	243.01
135.03	37333.6667	218.07
136.03	37360.6667	327.29
137.03	36852.6667	247.95
138.01	36975.3333	357.59
139.03	36109	385.05
140.03	36145.6667	1191.1
141.03	35491.6667	330.97
142.03	35706.6667	246.78
143.03	35439.3333	588.88
144.03	34773	278.17
145.01	35505.6667	253.4
146.03	34613.6667	406.18
147.03	34865.6667	345.23
148.03	34453.6667	154.26
149.03	34692.3333	274.72
150.03	34134.3333	275.85
151.03	34079.6667	410.69
152.01	33290.6667	292.87
153.03	33891.6667	416.26
154.03	33212	498.15
155.03	32385.6667	592.62
156.03	33146.6667	214.13
157.03	32570.6667	414
158.03	31585	233.95
159.01	31092.6667	71.631
160.03	31919.6667	404.38
161.03	31345.6667	134.89
162.03	31800	340.63
163.03	31012	546.92
164.03	30665.6667	103.84
165.03	31762.3333	256.65
166.01	31373.6667	396.77
167.01	30598.6667	166.53
168.03	30373.3333	152.32
169.03	30092.6667	335.24
170.03	29932.3333	417.9
171.03	29947	195.76
172.03	29091.3333	314.98
173.03	29747.6667	745.98
174.01	29173.3333	486.79
175.03	28987.3333	435.94
176.03	29079.6667	165.73
177.03	29079	208.71
178.03	29226.3333	548.18
179.03	28268.6667	162.36
