0		26000.3333	156.85
1.01		26265.6667	108.94
2.01		26520.6667	275.81
3.01		26372.6667	601.13
4.03		26108	14.107
5.03		25917.3333	239.17
6.03		26575.3333	491.99
7.03		26092.6667	266.36
8.03		26210.3333	333.87
9.03		26600.3333	115.03
10.01		26119	580.08
11.01		26105.3333	157.92
12.03		25626.6667	219.48
13.03		26040.6667	249.7
14.03		26450.3333	261.59
15.03		26239.3333	328.72
16.03		26959	422.78
17.03		26105.6667	236.93
18.01		26786	109.71
19.03		26066.6667	329.69
20.03		25892.6667	204.81
21.03		26759	407.51
22.03		26307.3333	528.36
23.03		26238	208.51
24.03		25638	314.32
25.01		25933	566.92
26.03		26213	159.5
27.03		26519	87.019
28.01		26773.3333	128.17
29.01		25983.6667	57.981
30.01		26319.6667	266.52
31.01		25920	254.63
32.01		25852.3333	128.43
33.03		25959	227
34.03		25801.3333	147.83
35.03		25573.3333	546.21
36.03		26266.3333	370.79
37.03		26265	475.14
38.03		25827.3333	86.976
39.01		26118	127.16
40.03		26666	534
41.03		25813.3333	240.86
42.03		26905.6667	449.95
43.03		25894.3333	259.41
44.03		25399.6667	199.68
45.03		26401	427.57
46.01		26304.6667	139.24
47.01		26040.6667	301.98
48.03		26238.3333	388.69
49.03		26054	259.23
50.03		26200.3333	546.87
51.03		26266.3333	173.84
52.03		26347.3333	334.34
53.03		26002	297.36
54.01		26599	441.46
55.03		25825	304.89
56.03		26532.6667	555.22
57.03		26746.3333	169.02
58.03		26131.6667	115.76
59.03		26760.3333	347.62
60.03		26028	223.03
61.01		26091.6667	392.82
62.03		26239.6667	223.17
63.03		25934.6667	339.63
64.03		26530.6667	400.55
65.03		25971.6667	258.72
66.03		26133.6667	165.58
67.03		26399	140.23
68.01		26596.6667	534.65
69.03		26200	13
70.03		26414.6667	208.71
71.03		26173	69.282
72.03		26039.6667	152.99
73.03		25986.3333	26.723
74.03		26014.3333	439.65
75.01		26731.6667	424.2
76.03		26202	429.02
77.03		26308	113.53
78.03		26278.3333	47.614
79.03		26213	220.25
80.03		25943	314.32
81.03		26656.3333	230.65
82.01		25785.6667	352.7
83.01		26866	490.32
84.03		26386.6667	247.15
85.03		25679	555.01
86.03		26347.3333	169.68
87.03		26574	341.67
88.03		26586	291.36
89.03		26280.6667	81.858
90.01		25971	188.26
91.03		26480	453.27
92.03		26681.3333	375.41
93.03		26187.3333	116.58
94.03		26279	279.49
95.03		26572.3333	323.65
96.03		26305	133.01
97.01		26824.6667	231.09
98.03		26080	521.16
99.03		26067	502.56
100.03		25560	353.78
101.03		26438.6667	302.31
102.03		26200.6667	147.4
